C001;C002;C003;C004;C005;C006;C007;C008;C009;C010;C011;C012;C013;C014;C015;C016;C017;C018;C019;C020;C021;C022;C023;C024;C025;C026;C027;C028;C029;C030;C031;C032;C033;C034;C035;C036;C037;C038;C039;C040;C041;C042;C043;C044;C045;C046;C047;C048;C049;C050;C051;C052;C053;C054;C055;C056;C057;C058;C059;C060;C061;C062;C063;C064;C065;C066;C067;C068;C069;C070;C071;C072;C073;C074;C075;C076;C077;C078;C079;C080;C081;C116;C082;C083;C084;C085;C086;C087;C088;C089;C090;C091;C092;C093;C094;C095;C096;C097;C098;C099;C100;C101;C102;C103;C104;C105;C106;C107;C108;C109;C110;C111;C112;C113;C114;C115;
W079;Arthropoda;Insecta;Coleoptera;Noteridae;;;;;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W080;Arthropoda;Insecta;Coleoptera;Phalacridae;;;;14,21;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W081;Arthropoda;Insecta;Coleoptera;Scarabaeidae;Aegialiinae;Aegialia;Aegialia arenaria;;1;2;0;1;0;135;1;1;0;0;0;0;135;0;1;2;0;0;0;136, 137;0;0;1;2;0;138;0;0;0;0;3;135;1;2;134;0;3;0;0;0;0;"134;d";1;0;2;0;2;0;0;0;0;135;0;1;2;0;0;0;"135, 136;d";0;2;2;0;135;0;3;0;0;135;3;0;0;0;0;136;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W082;Arthropoda;Insecta;Coleoptera;Scarabaeidae;Aphodiinae;Aphodius;;;2;1;0;0;0;144;2;1;0;0;0;0;145;0;0;3;0;0;0;146;0;2;1;0;0;"147; d";0;0;0;0;3;"148;e";3;0;148;0;3;0;0;0;0;144;1;0;0;2;1;0;0;0;0;144;0;0;3;0;0;0;145;2;2;2;1;144;3;0;0;0;144;1;2;0;0;0;145;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;Aphodius fimetarius
W083;Arthropoda;Insecta;Coleoptera;Scarabaeidae;Aphodiinae;Calamosternus;Calamosternus granarius;;2;1;0;0;0;198;2;1;0;0;0;0;199;0;2;1;0;0;0;199;NF;NF;NF;NF;NF;NF;3;0;0;0;0;200;3;0;"201;c";0;3;0;0;0;0;199;2;0;0;1;1;0;0;0;0;201;0;2;1;0;0;0;"202;d";NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;1;2;0;0;0;202;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W084;Arthropoda;Insecta;Coleoptera;Scarabaeidae;Aphodiinae;Psammodius;Psammodius asper;;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W085;Arthropoda;Insecta;Coleoptera;Scarabaeidae;Rutelinae;Phyllopertha;Phyllopertha horticola;;0;1;0;2;0;153;2;1;0;0;0;0;153;0;0;3;0;0;0;154;0;0;1;2;0;153;0;2;1;0;0;153;3;0;153;0;0;3;0;0;0;153;1;2;0;1;0;0;0;0;0;153;0;0;3;0;0;0;153;0;2;1;0;153;0;3;0;0;153;2;0;1;0;0;153;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;3;0;0;0;0;0;62;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W086;Arthropoda;Insecta;Coleoptera;Staphylinidae;;;;1,14,16,17,19,21;2;2;1;1;0;226;2;1;NF;NF;NF;NF;NF;0;2;1;0;0;0;226;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W087;Arthropoda;Insecta;Coleoptera;Staphylinidae;Paederinae;Paederus;Paederus riparius;;2;1;0;1;0;149;2;1;0;0;0;0;149;0;0;3;0;0;0;150;0;1;2;0;0;"151;d";2;1;0;0;0;150;3;0;150;0;0;0;0;3;0;150;2;1;0;1;0;0;0;0;0;82;0;3;0;0;0;0;"152;d";0;2;1;0;"152;d";0;3;0;0;"152;d";1;2;0;0;0;"152;d";NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W088;Arthropoda;Insecta;Coleoptera;Staphylinidae;Staphylininae;Philontus;;;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W089;Arthropoda;Insecta;Coleoptera;Staphylinidae;Staphylininae;Xantholinus;;;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W090;Arthropoda;Insecta;Coleoptera;Staphylinidae;Tachyporinae;Tachyporus;;;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W091;Arthropoda;Insecta;Coleoptera;Tenebrionidae;;;;1,14,16,18,19,21;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W092;Arthropoda;Insecta;Coleoptera;Tenebrionidae;Tenebrioninae;Melanimon;Melanimon tibialis;;1;2;0;1;0;155, 156;2;1;0;0;0;0;157;0;3;0;0;0;0;157;0;0;0;3;0;158;3;0;0;0;0;157;2;1;158;1;2;1;0;0;0;"157;159";2;0;1;1;2;0;0;0;0;155;0;0;3;0;0;0;157;0;3;0;0;157;0;3;0;0;157;3;0;0;0;0;157;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W093;Arthropoda;Insecta;Coleoptera;Tenebrionidae;Tenebrioninae;Phylan;Phylan gibbus;;1;2;0;1;0;1;1;2;1;0;0;0;204;0;0;3;0;0;0;205;NF;NF;NF;NF;NF;NF;3;0;0;0;0;205;0;3;203;0;2;1;0;0;1;206;1;0;2;0;2;0;0;0;0;207;0;3;0;0;0;0;203;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;2;1;0;0;0;203;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W094;Arthropoda;Insecta;Coleoptera;Tenebrionidae;Thymelaeoideae;Phaleria;Phaleria cadaverina;162;2;2;1;0;0;"161;162";1;2;1;0;0;0;162;0;0;3;0;0;0;163;0;1;2;1;0;164;0;1;2;1;0;161;0;3;162;0;3;0;0;0;0;161;1;0;2;0;2;0;0;0;0;161;0;1;2;0;0;0;161;0;2;1;0;"165;d";0;3;0;0;"165;d";2;2;0;0;0;161;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W095;Arthropoda;Insecta;Dermaptera;Labiduridae;Labidurinae;Labidura;Labidura riparia ;166;1;2;2;0;0;166;1;1;1;1;1;2;167;0;0;1;2;0;0;168;1;2;0;0;0;169;0;1;2;1;0;168;0;3;169;0;1;0;0;2;1;169;1;0;2;1;2;0;0;0;0;167;0;0;2;NF;0;2;62;0;3;0;0;62;1;2;0;0;169;1;0;2;0;0;170;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;0;0;0;3;0;0;62;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W096;Arthropoda;Insecta;Hemiptera;Aphididae;;;;14,15,16,17;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W097;Arthropoda;Insecta;Hemiptera;Cicadellidae;Deltocephalinae;;;13,14,15,16,17;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W098;Arthropoda;Insecta;Hemiptera;Delphacidae;;;;13,14,16,17;1;0;0;2;0;227;3;0;0;0;0;0;227;0;3;0;0;0;0;227;NF;NF;NF;NF;NF;NF;0;2;2;0;0;23;2;2;227;0;0;3;0;0;0;227;0;2;0;1;0;2;0;0;0;227;0;0;3;0;0;0;227;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;0;0;0;3;227;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W099;Arthropoda;Insecta;Hemiptera;Lygaeidae;;;;14,16,21;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W100;Arthropoda;Insecta;Hemiptera;Lygaeidae;Cyminae;Cymus;Cymus claviculus;10;1;0;0;2;0;10;3;0;0;0;0;0;10;0;3;0;0;0;0;171;0;0;3;0;0;"10;a";3;0;0;0;0;10;2;1;"10;a";0;0;1;2;0;0;"172, 10;a";1;2;0;2;0;0;0;0;0;"10;a";0;3;0;0;0;0;172;0;3;0;0;172;0;3;0;0;172, 10 ;0;0;0;0;3;172;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W101;Arthropoda;Insecta;Hemiptera;Lygaeidae;Rhyparochrominae;Scolopostethus;;;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W102;Arthropoda;Insecta;Hemiptera;Lygaeidae;Rhyparochrominae;Pionosomus;Pionosomus varius;;1;2;0;0;0;173;3;0;0;0;0;0;173;0;3;0;0;0;0;173;0;0;3;0;0;"173;a";3;0;0;0;0;"173;a";3;0;174;0;0;0;3;0;0;174, 173;1;2;0;1;0;0;0;0;0;173;0;3;0;0;0;0;173;0;2;1;0;173;0;3;0;0;173;3;0;0;0;0;173;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W103;Arthropoda;Insecta;Hemiptera;Lygaeidae;Rhyparochrominae;Scolopostethus;Scolopostethus affinis;;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W104;Arthropoda;Insecta;Hemiptera;Lygaeidae;Rhyparochrominae;Taphropeltus;Taphropeltus contractus;;2;1;0;1;0;7;3;0;0;0;0;0;7;0;3;0;0;0;0;197;NF;NF;NF;NF;NF;NF;3;0;0;0;0;7, 23;3;0;q;0;0;0;3;0;0;7;2;1;0;1;0;0;0;0;0;7;0;3;0;0;0;0;c;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;1;2;0;0;1;7;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W105;Arthropoda;Insecta;Hemiptera;Miridae;;;;5,9,14,16,17,21;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W106;Arthropoda;Insecta;Hemiptera;Piesmatidae;;;;10,14,21;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W107;Arthropoda;Insecta;Hemiptera;Pleoidea;Pleae;Plea;;;0;0;0;0;3;23, 48;0;0;0;0;0;3;23, 48;0;3;0;0;0;0;23, 48;0;0;2;1;0;178;3;0;0;0;0;178;3;0;178;0;0;0;0;3;0;23, 48;0;0;0;0;0;0;0;0;3;23, 48;0;0;3;0;0;0;48;0;0;3;0;178;0;3;0;0;23;0;0;0;0;3;48;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;NF;0;3;48;0;0;0;0;3;48;
W108;Arthropoda;Insecta;Hemiptera;Saldidae;Saldinae;;;7,14,21;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;2;1;0;0;0;48;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W109;Arthropoda;Insecta;Hemiptera;Saldidae;Saldinae;Saldula;Saldula saltatoria;;NF;NF;NF;NF;NF;NF;2;1;0;0;0;0;"47;m";0;3;0;0;0;0;47;0;0;3;0;0;a;3;0;0;0;0;7;3;0;7;0;0;0;0;3;0;48;2;0;0;1;0;2;0;0;0;179;0;3;0;0;0;0;47, 48;0;3;0;0;47;2;2;0;0;47, 48;0;3;0;0;0;48;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;1;NF;0;2;47, 48;1;2;1;0;0;47;
W110;Arthropoda;Insecta;Hemiptera;Veliidae;Microveliinae;Microvelia;;;0;0;0;0;3;23, 48;3;0;0;0;0;0;23;3;0;0;0;0;0;47;0;0;3;0;0;180;3;0;0;0;0;"7;d";3;0;7;0;0;0;0;3;0;23;1;1;0;0;0;0;0;0;2;23, 48;0;3;0;0;0;0;23;0;3;0;0;48;0;0;3;0;48;0;0;0;0;3;48;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;NF;0;3;48;0;3;0;0;0;48;
W111;Arthropoda;Insecta;Hymenoptera;Formicidae;;;;16,17,21;0;2;2;0;0;213;1;1;1;2;2;1;214;0;3;0;0;0;0;214;NF;NF;NF;NF;NF;NF;3;0;0;0;0;215;3;0;216;0;1;0;0;1;2;217;1;0;2;1;2;0;1;0;0;"217;215";1;0;2;0;0;2;215;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;2;0;2;0;0;"215;217";NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W112;Arthropoda;Insecta;Hymenoptera;Formicidae;Formicinae;Lasius;Lasius psammophilus;213;0;2;2;0;0;213;1;1;1;2;2;1;214;0;3;0;0;0;0;214;NF;NF;NF;NF;NF;NF;3;0;0;0;0;215;3;0;216;0;1;0;0;1;2;217;1;0;2;1;2;0;1;0;0;"217;215";1;0;2;0;0;2;215;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;2;0;2;0;0;"215;217";NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W113;Arthropoda;Diplopoda;Julida;Julidae;;;;14,16;2;2;1;0;0;223;1;2;1;0;0;0;224;0;0;2;1;0;0;224;NF;NF;NF;NF;NF;NF;1;2;0;0;0;225;0;3;225;0;2;1;0;0;0;225;1;0;2;0;2;0;0;0;0;223;0;0;3;0;0;0;"222;e";NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;2;2;0;0;0;"222;e";NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;Cylindroiulus latestriatus
W114;Arthropoda;Chilopoda;Lithobiomorpha;Lithobiidae;Lithobiinae;Lithobius;;14;2;2;0;0;0;218;2;2;1;0;0;0;14;0;0;1;2;0;0;219;NF;NF;NF;NF;NF;NF;3;0;0;0;0;220;0;3;221;0;0;0;0;3;0;221;2;0;1;0;0;0;0;0;0;221;0;0;2;0;0;1;222;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;2;2;0;0;0;222;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;Lithobius forficatus
W115;Mollusca;Bivalvia;Mytilida;Mytilidae;Mytilinae;Mytilus;Mytilus edulis;;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W116;Arthropoda;Arachnida;Opiliones;Phalangiidae;;;;16,17;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W117;Arthropoda;Insecta;Orthoptera;Acrididae;;;;14,16;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W118;Arthropoda;Insecta;Orthoptera;Tetrigidae;Tetriginae;Tetrix;Tetrix subulata;;1;2;0;1;0;184;3;0;0;0;0;0;185, 184;0;0;3;0;0;0;184;NF;NF;NF;NF;NF;NF;0;0;0;0;3;184;3;0;187;2;2;1;0;0;0;188;1;1;0;2;0;2;0;0;1;185;0;0;3;0;0;0;184;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;2;0;0;0;1;184;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
